麻婆豆腐,豆腐300克，猪肉馅100克，香葱1棵，生姜1小块，大蒜6瓣，花椒1大匙，淀粉适量，干辣椒2个，食用油30克，香油1大匙，酱油1/2大匙，豆瓣酱1大匙，白糖2小匙,1、豆腐切丁，香葱、生姜、大蒜、干辣椒切细末备用。2、锅内放入油烧热，先爆香葱末、生姜末、大蒜末、干辣椒末和豆瓣酱，再放入猪肉馅炒熟。3、加入适量水，煮开后加入豆腐丁、酱油、白糖煮3分钟。4、再用水淀粉勾芡后盛入盘中。5、烧热香油，爆香花椒，将花椒油淋在豆腐上即可。
宫保鸡丁,鸡胸肉丁200克，熟花生米50克，鸡蛋半个，蒜片10克，姜10克，葱段15克，干红辣椒5克，生粉15克，花椒15粒，酱油10cc，黄酒5cc，白糖10克，醋10cc，盐2克，味精2克，油300cc(耗50cc),1、鸡丁放碗里加盐、黄酒、味精、鸡蛋、生粉均匀拌和上浆。2、取小碗加酱油、糖、醋、盐、味精、湿生粉调匀兑汁。3、铁锅加油300cc烧到6成热时放鸡丁滑油后倒出沥净。4、锅中留油20cc先下干辣椒煸至棕红。5、随即下花椒炸香后放下鸡丁。6、倒入调味兑汁翻炒均匀，再加入花生米拌和。7、炒拌均匀后出锅装盘即可。
可乐鸡翅,鸡翅8只，生抽6汤匙，盐2汤匙，糖1汤匙，蒜头2瓣，切碎，料酒2汤匙，老抽3汤匙（可选），可乐1罐，植物油适量,1、鸡翅洗净，用生抽、盐、糖、酒和蒜腌一下鸡翅，大概半小时左右。2、大火下油，先放鸡翅下去炒一下，大约2，3分钟，皮开始变色之后，可以倒可乐进去，可乐要没过鸡翅，大火烧开，然后打开锅盖，转成中火烧。待汁烧得差不多的时候，鸡翅一般都熟了，如果想上色，可以加点老抽，想汁稠一点可以继续再烧一下，汁料的份量随自己的喜好掌握。
糖醋排骨,仔排，姜丝，葱丝，花椒粒，蒜片，生抽，老抽，糖，醋，鸡精，盐，食用油,1、仔排切段。起锅烧水，水开后放入排骨焯水2-3分钟，洗净浮沫，沥干后待用。2、碗里面加入生抽（入味），少许老抽（上色），加入葱姜丝，蒜片，拌匀后，倒入沥干的排骨，盖上保鲜膜或者盖上盖子，腌制几分钟。腌制的同时，根据自己的口味，在小碗里面倒入醋和适量的砂糖，调好糖醋汁待用。3、、起锅，食用油中火加热七层热的时候放入几粒花椒，炸出味道（但是不要炸糊了），倒入排骨（用筷子把排骨放入锅中，不要把葱姜丝放进去，会炸焦的），排骨中火炸至两面金黄后，倒入腌排骨的汁（包括葱姜丝和蒜片，这时候入锅，葱姜蒜的味道会出来而不会焦掉），翻炒均匀后倒入糖醋汁，继续翻炒。4、加入少量的水，没过排骨，大火烧开后转小火，继续焖煮大约10分钟，水收得差不多的时候，加入鸡精，根据自己的口味加入食盐调味。起锅！
肉酱意面,意大利面西红柿洋葱半个切丁香菇四个切丁蒜切末备用适量的肉<盐胡椒粉耗油红酒橄榄油>,1、意面投入开水锅中呈散开状，直到底部煮软全部浸入水中，入少许盐及橄榄油中火煮10-12分钟，捞出沥干水分，放入凉水或直接水冲也可以捞起后拌入少许橄榄油防止粘连；2、肉末中调入盐，鸡精黑胡椒粉，少许湿淀粉抓匀腌制备用；蕃茄开水中烫一下去皮切成丁；蘑菇洋葱切丁，蒜切末；3、锅烧热放少许黄油，放入蒜末略炒，稍后加入肉末一起翻炒至肉末变白关火盛出；锅烧热继续放黄油，放入洋葱丁煸炒至出香味略软；4、洋葱略煸软后，放入蕃茄蘑菇丁，中火一直翻炒至软，加入5大勺蕃茄沙司，调入少许盐，鸡粉，适量红酒继续熬煮，一直熬到呈酱汁状略收干，放入肉末一同翻匀，再撒多一些的黑胡椒粉5、意面铺在盘子里，将酱汁浇上去拌开即可（也可以将煮好的意面放入酱汁中在锅中拌匀盛出）
提拉米苏,马士卡彭500公克，动物性鲜奶油500公克，蛋黄80公克，细砂糖90公克，热水80公克，细砂糖40公克，吉利丁片15公克，其他：适量，防潮可可粉适量，细砂糖50公克，热水80公克，义式浓缩咖啡300公克，马沙拉白兰地70公克,1、将马士卡彭放入无水干净的钢盆中，以橡皮刮刀搅拌至均匀细緻无颗粒状备用。2、将动物性鲜奶油放入无水干净的钢盆中，以打蛋器搅拌打发至约7分发备用。3、将蛋黄及50公克细砂糖放入无水干净的钢盆中，搅拌至颜色变白体积变大，均匀且无颗粒状。4、再将剩余的40公克细砂糖与沸水一起煮沸，加入作法3中，继续搅拌至冷却（体积会膨胀）。5、将作法1分次加入作法4中，以刮刀以同方向拌匀，再加入作法2拌匀（搅拌均匀后仍要有流性）。6、将吉利丁以冰开水浸泡至软，放入干净容器中隔水加热至融化，再加入作法5中拌匀，即成提拉米苏酱。7、将所有咖啡酒糖液材料放入锅中，以小火煮匀备用。8、取一干净无水的玻璃平盘，倒入适量作法6提拉米苏酱，以手取指形饼干均匀沾上作法7，均匀排入盘中，最后倒入剩余的作法6提拉米苏酱。9、将作法8的表面抹平，放入冰箱冷冻约60分钟至冷却定型，取出在表面均匀撒上过筛过的防潮可可粉即可。
鱼香肉丝,猪里脊肉300克，绿尖椒1根，胡萝卜1/4根，冬笋1/2根，黑木耳6朵，配料：腌肉调料（生抽5ml，料酒5m，水淀粉20ml），鱼香汁（生抽5ml，醋15ml，白糖45克，盐1克，水淀粉20ml），色拉油80ml，葱，姜，蒜末适量，四川泡辣椒4-5根,1、猪里脊肉切细丝，加腌肉调料腌制十几分钟；2、绿尖椒、胡萝卜、冬笋分别切细丝，黑木耳泡软洗净切细丝备用；3、调好鱼香汁备用，葱、姜、蒜切末备用，泡辣椒切末备用；4、锅中放足量油，油六七成热时放入肉丝大火快速滑散至变白，盛出备用；5、锅中放少许油，放入葱、姜、蒜末炒香，放入泡辣辣末炒出红油；6、放入胡萝卜、冬笋、木耳翻炒2分钟，放入尖椒翻炒均匀；7、放入炒好的肉丝迅速翻炒均匀；8、倒入鱼香汁快速翻炒均匀即可。
土豆牛腩,牛肉，土豆，食用油，姜片，生抽，红酒，盐，鸡精，干辣椒，葱花,1、牛肉切方块，土豆洗净去皮切块。2、锅中烧水，水开后放入切好的牛肉煮变色，捞出沥干。3、炒锅热油至5分熟，放姜片爆香，再加入牛肉块翻炒至牛肉变色，同时烹入生抽，少许红酒提味。4、加入足量开水（没过牛肉），放入干辣椒，烧开后撇去浮沫。5、将4中的牛肉连同汤汁一起倒入炖锅，选择自动档，炖1小时左右至牛肉酥烂。6、放入土豆块，加盖小火再炖30分钟，至土豆变软。7、大火收汁，调入盐和鸡精，撒上葱花装饰即可。
红烧牛肉,牛肉500克，辣豆瓣酱20克，姜，酒，酱油各25克。,1、牛肉切块，用热水汆一下捞出。2、在油锅中将葱姜爆香，再加入辣豆瓣酱，然后放入牛肉块翻炒并加入酱油，糖胡椒粉，酒，味精及八角。3、最后加水浸过牛肉，用小火慢慢煮至汁稠，肉酥香即可。
咖喱牛肉,牛肉（瘦）500克，胡萝卜150克，咖喱20克，料酒10克，味精2克，玉米淀粉25克，鸡油25克，大葱20克，姜15克，白皮大蒜15克，八角5克，盐3克,1、将肉切成骨牌块，用清水浸泡洗净；2、胡萝卜去皮切成滚刀块；3、将牛肉放入开水锅中煮至去尽血筋捞出；4、胡萝卜用水煮至六成熟；5、将牛肉放入沙锅中，加入清水上火煮半小时，撇去浮沫；6、加入咖喱粉、料酒、盐、大料、葱段、姜片、蒜片煨至九成熟；7、放入胡萝卜块、味精，煨至熟透；8、将牛肉捞入盘内，汤汁倒入勺内，上火烧开，调味；9、用水淀粉勾汁，淋入鸡油，烧在牛肉上面即成。
